Band,Album,Genres,Score
Graveshadow,Nocturnal Resurrection,Power Metal,2.5
Awe,Providentia,Black Metal,2.5
Reject the Sickness,Chains of Solitude,Death Metal,2.5
Silent Line,Shattered Shores,Death Metal,2.5
Cold Northern Vengeance,Maelstrom,Black Metal,2.5
Stahlsarg,Comrades in Death,Black Metal,2.5
Vreid,Sólverv,Black Metal,2.5
Amberian Dawn,Innuendo,Power Metal,2.5
Visceral Throne,Those Who Have Fallen Beyond the Grace of God,Death Metal,2.5
Arkaik,Lucid Dawn,Death Metal,2.5
Circle II Circle,Reign of Darkness,Heavy Metal,2.5
Melted Space,The Great Lie,Death Metal,2.5
Children of Bodom,I Worship Chaos,Death Metal,2.5
Deafheaven,New Bermuda,Black Metal,2.5
Serial Butcher,Brute Force Lobotomy,Death Metal,2.5
Magister Templi,Into Duat,,2.5
Leaves’ Eyes,King of Kings,Folk Metal,2.5
Iron Maiden,The Book of Souls,Heavy Metal,2.5
Skepticism,Ordeal,Doom Metal,2.5
Uncle Acid & The Deadbeats,The Night Creeper,Doom Metal,2.5
Motorhead,Bad Magic,,2.5
IIVII,Colony,Ambient Metal,2.5
Sibiir,Swallow & Trap Them,Black Metal,2.5
Publicist UK,Forgive Yourself,,2.5
Coffins,Craving to Eternal Slumber,Death Metal,2.5
Chemical Burn,Raining Anvils,Groove Metal,2.5
Soulfly,Archangel,Death Metal,2.5
Lamb of God,VII: Sturm Und Drang,Groove Metal,2.5
Sacri Monti,Sacri Monti,Non-metal Metal Things,2.5
DarkTribe,The Modern Age,Melodic Metal,2.5
Yellowtooth,Crushed by the Wheels of Progress,Doom Metal,2.5
Indesinence,III,Doom Metal,2.5
Between the Buried and Me,Coma Ecliptic,Progressive Metal,2.5
Jungle Rot,Order Shall Prevail,Death Metal,2.5
Burning Point,Burning Point,Heavy Metal,2.5
Chaos Magic,Chaos Magic,Gothic Metal,2.5
To/Die/For,Cult,,2.5
WRVTH,WRVTH,Death Metal,2.5
Total Negation,Zeitzeuge,Black Metal,2.5
The Meads of Asphodel/Tjolgtjar,Taste the Divine Wrath,Black Metal,2.5
Midnight Odyssey,Shards of Silver Fade,Black Metal,2.5
Withering Soul,Adverse Portrait,Black Metal,2.5
Shining,"IX: Everyone, Everything, Everywhere, Ends",Black Metal,2.5
Helloween,My God-Given Right,Power Metal,2.5
Ebonillumini,Arktos,Black Metal,2.5
George Kollias,Invictus,Death Metal,2.5
Valborg,Romantik,Death Metal,2.5
Artaius,Torn Banners,Folk Metal,2.5
Entrails,Obliteration,Death Metal,2.5
Satan’s Wrath,Die Evil,Black Metal,2.5
Cave of Swimmers,Reflection,Doom Metal,2.5
Bell Witch,Four Phantoms,Death Metal,2.5
Deathblow,The Other Side of Darkness,Thrash Metal,2.5
Continuum,The Hypothesis,Death Metal,2.5
Infernus,Grinding Christian Flesh,Black Metal,2.5
Khors,Night Falls Onto the Front of Ours,Black Metal,2.5
Malthusian,Below the Hengiform,Black Metal,2.5
Forgotten Tomb,Hurt Yourself And The Ones You Love,Black Metal,2.5
Enslaved,In Times,Black Metal,2.5
Éohum,"Revelations, Aurora of an Epoch",Black Metal,2.5
Rise of Avernus,Dramatis Personæ EP,Doom Metal,2.5
Fulgora,Stratagem,Death Metal,2.5
Sacral Rage,Illusions in Infinite Void,Heavy Metal,2.5
Evil Invaders,Pulses of Pleasure,Thrash Metal,2.5
Frosttide,Blood Oath,Folk Metal,2.5
Apostate,Time of Terror,Death Metal,2.5
Hacavitz,Darkness Beyond,Black Metal,2.5
Bad Guys,Bad Guynaecology,Hard Rock,2.5
Pelican,The Cliff,Instrumental Metal,2.5
Carach Angren,This Is No Fairytale,Black Metal,2.5
Ruby the Hatchet,Valley of the Snake,Doom Metal,2.5
Zombies Ate My Girlfriend,Retrocide,Death Metal,2.5
Legion of Andromeda,Iron Scorn,Industrial Metal,2.5
Nocturna,Lucidity,,2.5
Primitive Man,Home Is Where the Hatred Is,Black Metal,2.5
Dwell,Vermin and Ashes,Death Metal,2.5
Salvation,Resurrect the Tradition,Hardcore,2.5
Finsterforst,Mach Dich Frei,Folk Metal,2.5
Lord Dying,Poisoned Altars,Doom Metal,2.5
Infra,Initiation on the Ordeals of Lower Vibrations,Death Metal,2.5
Jorn Lande and Trond Holter,Dracula: The Swing of Death,Hard Rock,2.5
In the Company of Serpents,Merging in Light,Doom Metal,2.5
6:33,Deadly Scenes,,2.5
Gnosis,The Third Eye Gate,Black Metal,2.5
Ingested,The Architect of Extinction,Deathcore,2.5
Battle Beast,Unholy Savior,Heavy Metal,2.5
Zero Down,No Limit to the Evil,Heavy Metal,2.5
Eye of Solitude,Dear Insanity,Doom Metal,2.5
Lotus Thief,Rervm,Experimental Metal,2.5
Entrench,Violent Procreation,Thrash Metal,2.5
Bloodbound,Stormborn,Heavy Metal,2.5
Centinex,Redeeming the Filth,Death Metal,2.5
Carcass,Surgical Remission/Surplus Steel,Death Metal,2.5
Crazy Lixx,Crazy Lixx,Cock Rock,2.5
Decaying,One to Conquer,Death Metal,2.5
Fides Inversa,Mysterium Tremendum et Fascinans,Black Metal,2.5
Obituary,Inked In Blood,Death Metal,2.5
Ruinside,10 Forms of Dominion,Thrash Metal,2.5
Tantal,Expectancy,Death Metal,2.5
Devin Townsend Project,Z2,Progressive Metal,2.5
Winterfylleth,The Divination of Antiquity,Black Metal,2.5
Electric Wizard,Time to Die,Doom Metal,2.5
Laika,Somnia,Death Metal,2.5
Weedeater,Sixteen Tons,Doom Metal,2.5
Beak,Let Time Begin,Post-Metal,2.5
Skyscraper,Elevation,Hard Rock,2.5
Falloch,"This Island, Our Funeral",Folk Metal,2.5
Aphyxion,Earth Entangled,Death Metal,2.5
Ichor -Depths Review,,Death Metal,2.5
Hammerfall,(r)Evolution,Heavy Metal,2.5
Crucifyre,Black Magic Fire,Death Metal,2.5
american,Coping With Loss,Black Metal,2.5
Sacrocurse,Unholier Master,Black Metal,2.5
Empire Auriga,Ascending the Solarthrone,Black Metal,2.5
Tankard,R.I.B.,Thrash Metal,2.5
Kaine,The Waystone,Heavy Metal,2.5
Judas Priest,Redeemer of Souls,Heavy Metal,2.5
Inanimate Existence,A Never-Ending Cycle of Atonement,Death Metal,2.5
Zgard,Contemplation,,2.5
Humut Tabal,The Dark Emperor ov the Shadow Realm,Black Metal,2.5
Rippikoulu,Ulvaja,Death Metal,2.5
Corrosion Of Conformity,IX,,2.5
Pillory,Evolutionary Miscarriage,Death Metal,2.5
Arch Enemy,War Eternal,Death Metal,2.5
Bloody Hammers,Under Satan’s Sun,Doom Metal,2.5
Bombs of Hades,Atomic Temples,Crust Punk,2.5
High Spirits,You Are Here,Hard Rock,2.5
Agalloch,The Serpent and the Sphere,Black Metal,2.5
Super Massive Black Holes,Calculations of the Ancients,Experimental Metal,2.5
Insomnium,Shadows of the Dying Sun,Death Metal,2.5
Prong,Ruining Lives,,2.5
The Drip,A Presentation of Gruesome Poetics,Hardcore,2.5
Coltsblood,Into the Unfathomable Abyss,Doom Metal,2.5
Massacre,Back From Beyond,Death Metal,2.5
Die Choking,Die Choking,Crust Punk,2.5
Nothing,Guilty of Everything,Not Metal,2.5
Kampfar,Djevelmakt,Black Metal,2.5
The Kennedy Veil,Trinity of Falsehood,Death Metal,2.5
Lethe,When Dreams Become Nightmares,Not Metal,2.5
Hexis,Abalam,Black Metal,2.5
Legion of the Damned,Ravenous Plague,Thrash Metal,2.5
Netherbird,The Ferocious Tides of Fate,Black Metal,2.5
Sheol,Sepulchral Ruins Below The Temple,Death Metal,2.5
Bones,Sons of Sleaze,Death Metal,2.5
Deicide,In the Minds of Evil,Death Metal,2.5
Slave Zero,Disambiguated Visionary,Death Metal,2.5
Metal Church,Generation Nothing,,2.5
Running Wild,Resilient,Heavy Metal,2.5
Soulfly,Savages,,2.5
Slegest,Løyndom,Black Metal,2.5
Rivers of Nihil,The Conscious Seed of Light,Djent,2.5
Shining,8 ½ – Feberdrömmar I Vaket Tillstånd,Black Metal,2.5
Serocs,The Next,Death Metal,2.5
Tarja,Colours in the Dark,Gothic Metal,2.5
DevilDriver,Winter Kills,Death Metal,2.5
Church of Void,Dead Rising,Doom Metal,2.5
Annihilator,Feast,Heavy Metal,2.5
Impiety,The Impious Crusade,Black Metal,2.5
All Pigs Must Die,Nothing Violates This Nature,Hardcore,2.5
Chthonic,Bú-Tik,Black Metal,2.5
I Killed Everyone,Necrospire,Death Metal,2.5
Lycus,Tempest,Doom Metal,2.5
Darkane,The Sinister Supremacy,Death Metal,2.5
Teloch Vovin,I,Black Metal,2.5
Angels of Babylon,Thundergod,Heavy Metal,2.5
Lonewolf,The Fourth and Final Horseman,,2.5
Ecnephias,Necrogod,,2.5
Havok,Unnatural Selection,Thrash Metal,2.5
Evile,Skull,Thrash Metal,2.5
Svartsyn,Black Testament,Black Metal,2.5
The Resistance,Scars,Death Metal,2.5
Battle Beast,Battle Beast,Power Metal,2.5
Uncle Acid and The Deadbeats,Mind Control,Doom Metal,2.5
Paganizer,World Lobotomy,Death Metal,2.5
Chaostar,Anomima,,2.5
Total Negation,Zur späten Stunde | Zeiträume,Black Metal,2.5
Saxon,Sacrifice,Heavy Metal,2.5
Vreid,Welcome Farewell,Black Metal,2.5
Stratovarius,Nemesis,Power Metal,2.5
Bloody Hammers,Bloody Hammers,Death Metal,2.5
Hate,Solarflesh,Death Metal,2.5
Enforcer,Death By Fire,Heavy Metal,2.5
Hanging Garden,At Every Door,,2.5
Paradox,Tales of the Weird,Heavy Metal,2.5
Kamikabe,Aberration of Man,Hardcore,2.5
Destruction,Spiritual Genocide,Thrash Metal,2.5
Nominon,The Cleansing,Death Metal,2.5
Kolp,The Outside,Black Metal,2.5
Rebellion,Arminus: Furor Teutonicus,Heavy Metal,2.5
Shining,Redefining Darkness,,2.5
Enslaved,RIITIIR,Viking Metal,2.5
Blut Aus Nord,777 – Cosmosophy,Avant-Garde,2.5
Vision Divine,Destination Set to Nowhere,,2.5
Seremonia,Seremonia,Doom Metal,2.5
Emerald,Unleashed,Heavy Metal,2.5
Xibalba,Hasta La Muerte,Hardcore,2.5
Dew-Scented,Icarus,,2.5
Delain,We Are the Others,,2.5
Martyrdöd,Paranoia,,2.5
Bonded by Blood,The Aftermath,Thrash Metal,2.5
Kråke,Conquering Death,,2.5
Manowar,The Lord of Steel,Heavy Metal,2.5
Fear Factory,The Industrialist,Death Metal,2.5
Ihsahn,Eremita,,2.5
Dawn Of Disease,Crypts Of The Unrotten,Death Metal,2.5
Cattle Decapitation,Monolith of Inhumanity,Grind,2.5
Saint Vitus,Lillie: F-65,Doom Metal,2.5
Aldaaron,Suprême Silence,Black Metal,2.5
Impiety,Ravage & Conquer,Black Metal,2.5
Terrorizer,Hordes of Zombies,Death Metal,2.5
Wykked Wytch,The Ultimate Deception,Black Metal,2.5
Degradation,Juggernaut,Thrash Metal,2.5
The Living Fields,Running Out of Daylight,Black Metal,2.5
Powerwolf,Blood of the Saints,Heavy Metal,2.5
Manilla Road,Playground of the Damned,Doom Metal,2.5
Jungle Rot,Kill on Command,Death Metal,2.5
FullForce,One,Heavy Metal,2.5
Rev 16:8,Ashlands,Black Metal,2.5
Altar of Plagues,Mammal,Black Metal,2.5
Kromlek,Finis Terrae,Black Metal,2.5
Sarke,Oldarhian,Heavy Metal,2.5
Bloodbound,Unholy Cross,Heavy Metal,2.5
Zero Illusions,Oblivion,Heavy Metal,2.5
Deicide,To Hell With God,Death Metal,2.5
Eradication,Dreams of Reality,Death Metal,2.5
The Bridal Procession,Astronomical Dimensions,Black Metal,2.5
Nadiwrath,Nihilistic Stench,Black Metal,2.5
Iskald,The Sun I Carried Alone,,2.5
Silent Stream of Godless Elegy,Návaz,Doom Metal,2.5
The Ocean,Anthropocentric,Hardcore,2.5
Cataract,Killing the Eternal,Metalcore,2.5
Death Angel,Relentless Retribution,Thrash Metal,2.5
Bonded by Blood,Exiled to Earth,Thrash Metal,2.5
Winterfylleth,The Mercian Sphere,Black Metal,2.5
Blind Guardian,At the Edge of Time,,2.5
Náttsól,Stemning,Black Metal,2.5
Darkthrone,Circle the Wagons,Black Metal,2.5
Cathedral,The Guessing Game,,2.5
Alcest,Écailles de Lune,,2.5
Trident,World Destruction,Black Metal,2.5
Eluveitie,Everything Remains (As It Never Was),Folk Metal,2.5
Through the Eyes of the Dead,Skepsis,Deathcore,2.5
The Kandidate,Until We Are Outnumbered,Hardcore,2.5
Six Feet Under,Graveyard Classics III,Death Metal,2.5
Valkyrja,Contamination,Black Metal,2.5
Annotations of an Autopsy,The Reign of Darkness,Death Metal,2.5
Leaves’ Eyes,Njord,,2.5
Valkyrja,The Invocation of Demise,Black Metal,2.5
Suicide Silence,No Time to Bleed,Deathcore,2.5
Killswitch Engage,Killswitch Engage (II),Metalcore,2.5
Incite,Savage New Times,Groove Metal,2.0
Visions Unseen,Echoes Through Time,Death Metal,2.0
Viogression,Thaumaturgic Veil,Death Metal,2.0
Cytolysis,Surge of Cruelty,Death Metal,2.0
Cold Slither,Cold Slither,Heavy Metal,2.0
Re-Buried,Flesh Mourning,Death Metal,2.0
Acidsloth,Acidsloth,Doom Metal,2.0
THRÆDS,Impermanence,Hard Rock,2.0
Hiroe,Wield,Instrumental Metal,2.0
Returning,Numinous,Black Metal,2.0
After Taste,Hungry For Life,Doom Metal,2.0
Rivers of Nihil,Rivers of Nihil,Death Metal,2.0
Katagory V,Awaken a New Age of Chaos,Heavy Metal,2.0
Wisdom & Fools,Prophecy,Thrash Metal,2.0
Cancer,Inverted World,Death Metal,2.0
Machine Head,UnatØNed,Groove Metal,2.0
Crypts of Despair,We Belong in the Grave,Death Metal,2.0
Napierdalać,The State of Love and War,Black Metal,2.0
Nydvind,Telluria,Black Metal,2.0
Hirax,Faster than Death,Speed Metal,2.0
Marrowomb,Phisenomie,Black Metal,2.0
Weed Demon,The Doom Scroll,Sludge,2.0
Fell Omen,Invaded by a Dark Spirit,Black Metal,2.0
Rectal Smegma,To Serve and Protect,Death Metal,2.0
Fumes,Skeletal Wings Threshold,Black Metal,2.0
Norilsk,Antipole,Death Metal,2.0
Pyre,Where Obscurity Sways,Black Metal,2.0
À Terre,Embrasser La Nuit,Post-Metal,2.0
Wuldorgast,Cold Light,Black Metal,2.0
Septaria,Astar,Post-Metal,2.0
Empires of Eden,Guardians of Time,Heavy Metal,2.0
Earthburner,Permanent Dawn,Grind,2.0
Witnesses,Joy,Doom Metal,2.0
Impellitteri,War Machine,Heavy Metal,2.0
Amputate,Abysmal Ascent,Death Metal,2.0
Sathanas,Into the Nocturne,Black Metal,2.0
Calcarata,Der Müde Mensch,Black Metal,2.0
Liljevars Brann,Helja Kor,Black Metal,2.0
Eye of the Golem,Nigredo,Post-Hardcore,2.0
Maul,In the Jaws of Bereavement,Death Metal,2.0
Sanctuarium,Melted and Decomposed,Death Metal,2.0
Defiled,Horror beyond Horror,Death Metal,2.0
Cyborg Octopus,Bottom Feeder,Metalcore,2.0
Hatchend,Summer of ’69,Crust Punk,2.0
Moose Cult,Book of the Machines,Doom Metal,2.0
Agrypnie,Erg,Black Metal,2.0
Phaëthon,Wielder of the Steel,Epic Metal,2.0
Wormwitch,Wormwitch,Black Metal,2.0
Deliver the Galaxy,Bury Your Gods,Death Metal,2.0
Imperia,Dark Paradise,Power Metal,2.0
Sarajah,Sarajah,Doom Metal,2.0
Neaera,All is Dust,Death Metal,2.0
Anvil,One and Only,Heavy Metal,2.0
Release the Titans,The Odyssey,Power Metal,2.0
Wormwood,The Star,Black Metal,2.0
Eigenstate Zero,The Malthusian,Death Metal,2.0
Rotting Christ,Pro Xristou,Black Metal,2.0
Darkthrone,It Beckons Us All…….,Black Metal,2.0
Ossilegium,The Gods Below,Black Metal,2.0
Acid Mammoth,Supersonic Megafauna Collision,Doom Metal,2.0
Ingested,The Tide of Death and Fractured Dreams,Deathcore,2.0
Vltimas,EPIC,Black Metal,2.0
The Moor,Ombra,Death Metal,2.0
Grey Skies Fallen,Molded By Broken Hands,Doom Metal,2.0
Whom Gods Destroy,Insanium,Progressive Metal,2.0
Drain Down,Toxic Society,Hardcore,2.0
Blazar,Fatal Cosmic Wound,Doom Metal,2.0
Exhorder,Defectum Omnium,Thrash Metal,2.0
North Sea Echoes,Really Good Terrible Things,Ambient,2.0
Infected Rain,TIME,Djent,2.0
Zwielicht,The Aphotic Embrace,Black Metal,2.0
Olhava,Sacrifice,Black Metal,2.0
Drowned,Procul His,Death Metal,2.0
Kontact,Full Contact,Heavy Metal,2.0
Iron Front,Hooked,Death Metal,2.0
Axenstar,Chapter VIII,Power Metal,2.0
Silent Planet,Superbloom,Ambient Metal,2.0
Ancestral Curse,In Dreams of Endless Darkness,Death Metal,2.0
Autarkh,Emergent,Black Metal,2.0
Left Cross,Upon Desecrated Altars,Death Metal,2.0
Fuming Mouth,Last Day of Sun,Crust Punk,2.0
Catafalque,Dybbuk,Doom Metal,2.0
Lightlorn,At One with the Night Sky,Black Metal,2.0
Den Saakaldte,Pesten Som Tar Over,Black Metal,2.0
Tideless,Eye of Water,Doom Metal,2.0
Flesher,Tales of Grotesque Demise,Death Metal,2.0
Pomegranate Tiger,All Input Is Error,Progressive Metal,2.0
Demoniac,Nube Negra,Thrash Metal,2.0
Noveria,The Gates of the Underworld,Power Metal,2.0
UKĆ,Coming Out,Black Metal,2.0
Bees Made Honey in the Vein Tree,Aion,Progressive Metal,2.0
Nuclear Winter,Seagrave,Industrial Metal,2.0
Royal Deceit,Ill,Metalcore,2.0
Dead and Dripping,Blackened Cerebral Rifts,Death Metal,2.0
Humanity’s Last Breath,Ashen,Deathcore,2.0
Arch Blade,Kill the Witch,Heavy Metal,2.0
Inhumed,Feasted Upon Like Carrion,Death Metal,2.0
Blackning,Awakening Rage,Thrash Metal,2.0
Evile,The Unknown,Thrash Metal,2.0
Crepitation,Monstrous Eruption of Impetuous Preposterosity,Slam,2.0
Wonders,Beyond the Mirage,Heavy Metal,2.0
Ǥứŕū,Nova Lvx,Black Metal,2.0
Saint Karloff,Paleolithic War Crimes,Stoner Rock,2.0
Project: Roenwolfe,Project: Roenwolfe,Power Metal,2.0
Pandrador,Seiðr,Death Metal,2.0
Immortal,War Against All,Black Metal,2.0
Austere,Corrosion of Hearts,Black Metal,2.0
DevilDriver,Dealing with Demons vol. II,Groove Metal,2.0
These Beasts,"Cares, Wills, Wants",Noise Rock,2.0
Örnatorpet,"Evigt Fr​ä​mmande, Evigt Fj​ä​rran",Ambient,2.0
Fimbulvet,Portale,Folk Metal,2.0
Bonginator,The Intergalactic Gorebong of Deathpot,Death Metal,2.0
Outlaw,Reaching Beyond Assiah,Black Metal,2.0
Haliphron,Prey,Death Metal,2.0
Medevil,Mirror in the Darkness,Heavy Metal,2.0
Black Sea of Trees,The Spiritual Beast,Gothic Metal,2.0
Lotan,Lotan,Black Metal,2.0
Maze of Sothoth,Extirpated Light,Death Metal,2.0
Redemption,I Am the Storm,Progressive Metal,2.0
Treedeon,New World Hoarder,Doom Metal,2.0
Omega Infinity,The Anticurrent,Ambient,2.0
The Abbey,Word of Sin,Doom Metal,2.0
Dusk,Spectrums,Deathcore,2.0
Häxanu,Totenpass,Black Metal,2.0
Black Water Sunset,Engraved Spectral Aeons,Death Metal,2.0
Seum,Double Double,Sludge Metal,2.0
Memoriam,Rise to Power,Death Metal,2.0
Flidais,Pathogen,Power Metal,2.0
Deiquisitor,Apotheosis Revew,,2.0
Ropes inside a Hole,A Man and His Nature,,2.0
Har Shatan,Manum Inicere Alicui,Black Metal,2.0
Gomorra,Dealer of Souls,Heavy Metal,2.0
A Cherdmas Carol: Brojob,"A Very Deathcore Christmas, Archeopteryx – A Very Blackened Christmas, and One Hell of a Christmas – Horrific Holiday Music for the Jaded Masses, Vol 1 Reviews",Black Metal,2.0
Gavran,Indistinct Beacon,Post-Metal,2.0
Ateiggar,Tyrannemord,Black Metal,2.0
Diabolical Raw,Elegy of Fire Dusk,Black Metal,2.0
Devin Townsend,Lightwork,Progressive Rock,2.0
Joe Lynn Turner,Belly of the Beast,Heavy Metal,2.0
Reverend Mother,Damned Blessing,Doom Metal,2.0
Parius,The Signal Heard throughout Space,Progressive Metal,2.0
Internal Organs External,The Brutality of Tomorrow,Death Metal,2.0
Sinnery,Black Bile,,2.0
Slugcrust,Ecocide,,2.0
Abhor,Sex Sex Sex (Ceremonia Daemonis Anticristi),Black Metal,2.0
Razor,Cycle of Contempt,Thrash Metal,2.0
Assimilator,Assimilator,Death Metal,2.0
Awaken the Misogynist,Descended from Vast Dimensions,Slam,2.0
Meteora,…of Shades and Colours,Symphonic Metal,2.0
Bloodbath,Survival of the Sickest,Death Metal,2.0
In Grief,An Eternity of Misery,Death Metal,2.0
Might,Abyss,Sludge,2.0
Parasite Inc.,Cyan Night Dreams,Death Metal,2.0
Aerdryk,Met De Drietand Op Mijn Huid,Black Metal,2.0
Stormbound,December,Power Metal,2.0
Coscradh,Nahanagan Stadial,Black Metal,2.0
Black Magnet,Body Prophesy,Electronic Metal,2.0
Source of Rage,Witness the Mess,Djent,2.0
Birth,Born,Progressive Rock,2.0
postcards from new zealand,Nin-an-ak,Ambient,2.0
Philosophobia,Philosophobia,Progressive Metal,2.0
Seep,Hymns to the Gore,Death Doom,2.0
Altaria,Wisdom,Heavy Metal,2.0
A Lie Nation,Sociopathology,Death Metal,2.0
Conjurer,Páthos,Black Metal,2.0
Our Dying World,Hymns of Blinding Darkness,Death Metal,2.0
Mirror Queen,Inviolate,Hard Rock,2.0
Consecration,Cinis,Death Metal,2.0
Big Muff 68,Swing Metal,Groove Metal,2.0
Temple of Void,Summoning the Slayer,Death Metal,2.0
Sensory Amusia,Breed Death,Death Metal,2.0
Gramma Vedetta,The Hum of the Machine,Progressive Rock,2.0
Volturian,Red Dragon,Electronica,2.0
Strange Horizon,Beyond the Strange Horizon,Doom Metal,2.0
Depressed Mode,Decade of Silence,Doom Metal,2.0
Dälek,Precipice,,2.0
Mirror,The Day The Bastard Leaders Die,Heavy Metal,2.0
Bhleg,Fäghring,Black Metal,2.0
Alunah,Strange Machine,Doom Metal,2.0
Faceless Entity,The Great Anguish of Rapture,Black Metal,2.0
Blood Torrent,Void Universe,Black Metal,2.0
Mortify,Fragments at the Edge of Sorrow,Death Metal,2.0
Et Moriemur,Tamashii No Yama,Doom Metal,2.0
Abbath,Dread Reaver,Black Metal,2.0
Extinction A.D.,Culture of Violence,Thrash Metal,2.0
Nick Vasallo,Apophany,Classical,2.0
Svartsot,Kumbl,Folk Metal,2.0
Pestilength,Basom Gryphos,Black Metal,2.0
Unru,Die Wiederkehr des Verdrängten,Ambient Metal,2.0
As I May,Karu,Metalcore,2.0
Deathbell,A Nocturnal Crossing,Doom Metal,2.0
Brood of Hatred,The Golden Age,Death Metal,2.0
Blood Incantation,Timewave Zero,,2.0
An Evening Redness,An Evening Redness,Drone,2.0
Anachoret,Syndrom,Black Metal,2.0
Night Cobra,Dawn of the Serpent,Epic Metal,2.0
Sartori,Dragon’s Fire,Power Metal,2.0
Mystic Circle,Mystic Circle,Black Metal,2.0
Freaks and Clowns,We Set the World on Fire,Heavy Metal,2.0
Hellfox,The Call,Alt-Metal,2.0
Oshiego,Jaljalut,Death Metal,2.0
Autumn’s Child,Zenith,Hair Metal,2.0
Paul Gilbert,‘Twas,Hard Rock,2.0
Rachel Mother Goose,Synra Basho,,2.0
So Hideous,None But a Pure Heart Can Sing,Mathcore,2.0
Krvna,Sempinfernus,Black Metal,2.0
Eternal Evil,The Warriors Awakening Brings The Unholy Slaughter,Black Metal,2.0
Temple of Evil,Apolytrosis,Black Metal,2.0
Sun Below,Sun Below,Stoner Metal,2.0
200 Stab Wounds,Slave to the Scalpel,Death Metal,2.0
Astrophobos,Corpus,Black Metal,2.0
Zaäar,Magická Džungl’a,Drone,2.0
Jointhugger,Surrounded by Vultures,Doom Metal,2.0
Burning Tongue,Prisoner’s Cinema,Death Metal,2.0
A Secret Revealed,When the Day Yearns For Light,Metalcore,2.0
The Breathing Process,Labyrinthian,Black Metal,2.0
Muertissima,Inquisition,Death Metal,2.0
Alkuharmonian Kantaja,Shadowy Peripherals,Black Metal,2.0
Waldgeflüster,Dahoam,Black Metal,2.0
Manfrea,Noire,Black Metal,2.0
Vulvodynia,Praenuntius Infiniti,Deathcore,2.0
Criminal,Sacrificio,Death Metal,2.0
Claymorean,Eulogy for the Gods,Heavy Metal,2.0
Whyzdom,Of Wonders and Wars,Power Metal,2.0
Billy Boy in Poison,Umbra,Metalcore,2.0
Summoner’s Circle,Chaos Vector,Progressive Metal,2.0
Moon Unit,Differences in Language and Lifestyle,Nu Metal,2.0
Heathen Rites,Heritage,,2.0
Wormwood,Arkivet,Black Metal,2.0
Deafheaven,Infinite Granite,,2.0
Mythopoeic Mind,Hatchling,Progressive Rock,2.0
Arna,Dragged to a Lunar Grave,Black Metal,2.0
Archangel A.D.,Casus Belli,Thrash Metal,2.0
Epoch of Chirality,Nucleosynthesis,Heavy Metal,2.0
Rebellion,We Are the People,Heavy Metal,2.0
Leila Abdul-Rauf,Phantasiai,Ambient,2.0
Kambrium,Synthetic ERA,Death Metal,2.0
Psychic Hit,Solutio,Hard Rock,2.0
Rat King,Omen,Doom Metal,2.0
Olórin,Through Shadow and Flame,Doom Metal,2.0
Anthropophagus Depravity,Apocalypto,Death Metal,2.0
Seance Of,The Colour of Magick,Black Metal,2.0
Tragedy and Triumph,Where Mountains Rise and Hearts Fall,,2.0
Sundrowned,Become Ethereal,,2.0
Demon Incarnate,Leaves of Zaqqum,Doom Metal,2.0
Eremit,Bearer of Many Names,Doom Metal,2.0
Wooden Veins,In Finitude,Doom Metal,2.0
Drift into Black,Patterns of Light,Death Doom,2.0
Bleeth,Harbinger,Post-Metal,2.0
Blazon Rite,Endless Halls of Golden Totem,Heavy Metal,2.0
Funeral Fullmoon,Poetry of the Death Poison,Black Metal,2.0
Abysskvlt,Phur G. Yang,Doom Metal,2.0
Grave Miasma,Abyss of Wrathful Deities,Death Metal,2.0
Źmiarćvieły,Čornaje Połymia,Black Metal,2.0
Wormlight,Nightmother,Black Metal,2.0
Osiah,Loss,Deathcore,2.0
Bunker 66,Beyond the Help of Prayers,Black Metal,2.0
My Refuge,The Anger Is Never Over,Heavy Metal,2.0
Malformity,Monumental Ruin,Death Metal,2.0
Monarch,Future Shock,Thrash Metal,2.0
Suffocate for Fuck Sake,Fyra,Post-Metal,2.0
Exterminated,The Genesis of Genocide,,2.0
Dark the Suns,Suru raivosi sydämeni pimeydessä,Gothic Metal,2.0
Mythic Sunship,Wildfire,Progressive Rock,2.0
Plaguewielder,Covenant Death,Black Metal,2.0
Ischemic,Ischemic,,2.0
Tomahawk,Tonic Immobility,Alternative Metal,2.0
Olde,Pilgrimage,Sludge,2.0
Sullen,Nodus Tollens – Act 1: Oblivion,Progressive Metal,2.0
Autarkh,Form in Motion,Black Metal,2.0
Timelost,Gushing Interest,Black Metal,2.0
Acid Mammoth,Caravan,Doom Metal,2.0
Five the Hierophant,Through Aureate Void,Ambient Metal,2.0
Carcolh,The Life and Works of Death,Doom Metal,2.0
Immortal Guardian,Psychosomatic,Power Metal,2.0
The Lylat Continuum,Ephemeral,Psychedelic Rock,2.0
Shotgun Revolution,IV,Hard Rock,2.0
Blue Hour Ghosts,Due,Alternative Metal,2.0
Sea Sleeper,Nostophobia,Death Metal,2.0
Ablaze My Sorrow,Among Ashes and Monoliths,Death Metal,2.0
Colossus,Degenesis,Death Metal,2.0
Terrordome,Straight Outta Smogtown,,2.0
Wampyric Rites,The Eternal Melancholy of the Wampyre,Black Metal,2.0
And Now the Owls are Smiling,Dirges,Black Metal,2.0
Pounder,Breaking the World,Heavy Metal,2.0
Therion,Leviathan,Progressive Metal,2.0
Scarred,Scarred,,2.0
